AGGA,-8.7026,160.6820,Gwaunaru'u Airport,Auki,11
AGGB,-11.3022,159.7983,Bellona/Anua Airport,Anua,11
AGGC,-6.7119,156.3961,Choiseul Bay Airport,Choiseul Bay,11
AGGE,-6.9907,155.8867,Ballalae Airport,Ballalae,11
AGGF,-8.1075,159.5770,Fera/Maringe Airport,Fera Island,11
AGGH,-9.4280,160.0550,Honiara International Airport,Honiara,11
AGGK,-10.4497,161.8980,Ngorangora Airport,Kirakira,11
AGGL,-10.7203,165.7950,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,11
AGGM,-8.3280,157.2630,Munda Airport,Munda,11
AGGN,-8.0978,156.8640,Nusatupe Airport,Gizo,11
AGGO,-7.4169,155.5650,Mono Airport,Stirling Island,11
AGGR,-11.5500,160.0628,Rennell/Tingoa Airport,Rennell Island,11
AGGT,-10.8480,162.4541,Santa Ana Airport,Santa Ana Island,11
AGGU,-9.8617,160.8250,Marau Airport,Marau,11
AGGV,-7.5856,158.7310,Suavanao Airport,Suavanao,11
AGGY,-9.0928,159.2184,Yandina Airport,Yandina,11
AGKG,-7.3305,157.5850,Kaghau Airport,Kagau Island,11
AGOB,-8.3250,160.8005,Manaoba Airport,Manaoba,11
AGOK,-8.7384,158.2028,Gatokae Aerodrome,Gatokae,11
AGRM,-8.1681,157.6430,Ramata Airport,Ramata,11
ANYN,-0.5479,166.9195,Nauru International Airport,Yaren,12
AQBC,-74.7394,164.0354,Boulder Clay Runway,Zucchelli Station,11
AYBA,-7.4970,144.8218,Baimuru Airport,Baimuru,10
AYBK,-5.4223,154.6727,Buka Airport,Buka Island,10
AYBM,-8.0500,142.9330,Balimo Airport,Balimo,10
AYCH,-6.0243,144.9710,Chimbu Airport,Kundiawa,10
AYDU,-9.0868,143.2080,Daru Airport,Daru,10
AYET,-7.2373,141.1063,Bosset Airport,Bosset,9
AYGA,-6.0817,145.3920,Goroka Airport,Goronka,10
AYGN,-10.3115,150.3340,Gurney Airport,Gurney,10
AYGR,-8.8045,148.3090,Girua Airport,Popondetta,10
AYGT,-6.2711,150.3310,Gasmata Island Airport,Gasmata Island,10
AYHK,-5.4638,150.4073,Hoskins Airport,Kimbe,10
AYIQ,-6.3057,155.7282,Aropa Airport,Kieta,10
AYKA,-8.5058,151.0810,Losuia Airport,Losuia,10
AYKI,-6.1257,141.2820,Kiunga Airport,Kiunga,10
AYKK,-7.4244,144.2501,Kikori Airport,Kikori,10
AYKM,-7.9636,145.7710,Kerema Airport,Kerema,10
AYKV,-2.5794,150.8080,Kavieng Airport,Kavieng,10
AYKY,-3.0436,152.6290,Londolovit Airport,Londolovit,10
AYMD,-5.2071,145.7890,Madang Airport,Madang,10
AYMH,-5.8282,144.2994,Mount Hagen Kagamuga Airport,Mount Hagen,10
AYMN,-6.1477,143.6570,Mendi Airport,Mendi,10
AYMO,-2.0619,147.4240,Momote Airport,Manus Island,10
AYMR,-6.3633,143.2380,Moro Airport,Moro,10
AYMS,-10.6892,152.8380,Misima Island Airport,Misima Island,10
AYNZ,-6.5680,146.7265,Nadzab Tomodachi International Airport,Lae,10
AYOB,-7.5906,141.3243,Obo Airport,Obo,9
AYPY,-9.4434,147.2200,Port Moresby Jacksons International Airport,Port Moresby,10
AYSS,-7.6217,142.8680,Sasereme Airport,Sasereme,10
AYTA,-5.8450,142.9480,Tari Airport,Tari,10
AYTB,-5.2805,141.2276,Tabubil Airport,Tabubil,10
AYTI,-8.3567,146.9892,Tapini Airport,Tapini,10
AYTK,-4.3405,152.3800,Tokua Airport,Kokopo,10
